category,model,variant,result,states,search,ce,correct
array,array_monotonic_true.pkg.c,v.10.c,V,115,0:00,0:02,1
array,array_of_struct_break_true.pkg.c,v.10.c,V,21,0:00,0:03,1
array,array_of_struct_break_true.pkg.c,v.100.c,V,156,0:01,0:06,1
array,array_of_struct_single_elem_init_true.pkg.c,v.10000.c,V,10.0 k,0:22,5:33,1
array,array_of_struct_single_elem_init_true.pkg.c,v.100.c,V,105,0:00,0:08,1
array,array_of_struct_single_elem_init_true.pkg.c,v.10.c,V,15,0:00,0:04,1
array,array_of_struct_single_elem_init_true.pkg.c,v.1000.c,V,1005,0:00,0:37,1
array,array_ptr_single_elem_init_false.pkg.c,v.10.c,E,3047,0:00,0:07,1
array,array_ptr_single_elem_init_true.pkg.c,v.10.c,V,10.1 k,0:49,0:10,1
array,array_single_elem_init_false.pkg.c,v.10.c,E,426,0:00,0:05,1
array,copysome1_true.pkg.c,v.1000.c,V,3504,2:38,1:45,1
array,copysome1_true.pkg.c,v.100.c,V,354,0:00,0:10,1
array,copysome1_true.pkg.c,v.10.c,V,39,0:00,0:06,1
array,copysome2_true.pkg.c,v.10.c,V,54,0:00,0:05,1
array,copysome2_true.pkg.c,v.100.c,V,504,0:00,0:17,1
array,copysome2_true.pkg.c,v.1000.c,V,5004,2:43,2:27,1
array,sanfoundry_10_true.pkg.c,v.10.c,V,9,0:00,0:04,1
array,sanfoundry_10_true.pkg.c,v.100.c,V,54,0:00,0:04,1
array,sanfoundry_10_true.pkg.c,v.1000.c,V,504,0:00,0:04,1
array,sanfoundry_10_true.pkg.c,v.10000.c,V,5004,0:01,0:04,1
array,sanfoundry_10_true.pkg.c,v.100000.c,V,50.0 k,1:52,0:04,1
array,sanfoundry_24_false-valid-deref.pkg.c,v.100.c,E,105,5:24,5:31,1
array,sanfoundry_24_false-valid-deref.pkg.c,v.10.c,E,15,0:00,0:07,1
array,sanfoundry_24_true.pkg.c,v.100.c,E,105,5:21,5:29,0
array,sanfoundry_24_true.pkg.c,v.10.c,E,15,0:00,0:05,0
array,standard_copy1_true.pkg.c,v.100.c,V,254,0:00,0:10,1
array,standard_copy1_true.pkg.c,v.1000.c,V,2504,0:43,1:10,1
array,standard_copy1_true.pkg.c,v.10.c,V,29,0:00,0:04,1
array,standard_copy2_true.pkg.c,v.100.c,V,304,0:00,0:10,1
array,standard_copy2_true.pkg.c,v.10.c,V,34,0:00,0:04,1
array,standard_copy2_true.pkg.c,v.1000.c,V,3004,2:09,1:17,1
array,standard_copy3_true.pkg.c,v.10.c,V,39,0:00,0:04,1
array,standard_copy3_true.pkg.c,v.100.c,V,354,0:00,0:11,1
array,standard_copy3_true.pkg.c,v.1000.c,V,3504,1:37,1:19,1
array,standard_copy4_true.pkg.c,v.100.c,V,404,0:00,0:11,1
array,standard_copy4_true.pkg.c,v.1000.c,V,4004,1:48,1:12,1
array,standard_copy4_true.pkg.c,v.10.c,V,44,0:00,0:05,1
array,standard_copy5_true.pkg.c,v.100.c,V,454,0:00,0:11,1
array,standard_copy5_true.pkg.c,v.1000.c,V,4504,3:05,1:12,1
array,standard_copy5_true.pkg.c,v.10.c,V,49,0:00,0:06,1
array,standard_copy6_true.pkg.c,v.1000.c,V,5004,2:37,1:20,1
array,standard_copy6_true.pkg.c,v.100.c,V,504,0:00,0:13,1
array,standard_copy6_true.pkg.c,v.10.c,V,54,0:00,0:05,1
array,standard_copy7_true.pkg.c,v.100.c,V,554,0:00,0:11,1
array,standard_copy7_true.pkg.c,v.10.c,V,59,0:00,0:04,1
